"it","SSM","logl","sig2","K-prot","K-pat","nk1","nk2","nk3","nk4","nk5","nk1","nk2","nk3","nk4","nk5"
2030,0.94612508263432,-49042.6018093199,0.946986412879708,20,16,413,301,296,284,273,4,3,3,3,3
2040,0.946703966414133,-49073.5735127922,0.945596079093005,20,17,386,303,293,290,274,4,3,3,3,2
2050,0.946367855690455,-49056.083553931,0.939174320250376,20,17,406,310,288,274,272,4,3,3,3,2
2060,0.945735446885216,-49020.4642326044,0.941638794331793,20,17,406,307,284,276,275,4,3,3,3,2
2070,0.945859592625346,-49027.2614805541,0.945218246966873,20,17,414,312,298,272,263,4,3,3,3,2
2080,0.9465121812103,-49063.2039004402,0.95054852066389,20,17,421,300,296,281,272,4,3,3,3,2
2090,0.946316963618086,-49053.5490057287,0.946305648672548,20,17,402,311,297,291,264,4,3,3,3,3
2100,0.946229413370059,-49048.3394073544,0.952382056000933,20,17,420,308,297,277,266,4,3,3,3,3
2110,0.945822517958234,-49025.5473515432,0.947794583028846,20,17,410,315,288,279,265,4,3,3,3,3
2120,0.947371883715912,-49110.2185726949,0.942860464285349,20,19,385,304,293,279,272,4,3,3,3,2
2130,0.946643904886995,-49070.4874727481,0.94284707106852,20,17,375,301,291,285,278,4,3,3,3,2
2140,0.946436655186655,-49058.9794228866,0.951769733734426,20,17,403,295,287,284,275,4,3,3,2,2
2150,0.946356245217065,-49054.507302808,0.945996749322408,20,17,404,288,287,287,280,4,3,3,2,2
2160,0.94630562962409,-49051.72423294,0.94389316681929,20,16,396,307,294,294,278,4,3,3,3,2
2170,0.946039347158896,-49038.0895419949,0.945935683125076,20,17,402,298,294,290,290,4,3,3,2,2
2180,0.945064594824345,-48983.5975738789,0.944553080037672,20,17,420,303,291,287,287,4,3,3,2,2
2190,0.945885567697956,-49028.7861937598,0.95211120880166,20,17,435,308,282,279,278,4,3,3,2,2
2200,0.946603264227686,-49069.5135681447,0.942742983514679,20,16,429,294,288,281,279,4,3,3,3,2
2210,0.947192871969532,-49100.4151859771,0.945341447732166,20,16,431,299,296,284,284,4,3,3,3,2
2220,0.946913665515377,-49085.4642713723,0.945249506512135,20,16,429,299,294,280,280,4,3,3,3,2
2230,0.945012283835414,-48980.8600860236,0.944212148430802,20,17,418,305,297,280,278,4,3,3,2,2
2240,0.945821685837195,-49025.1988608633,0.946759086290764,20,18,418,305,291,283,280,4,3,3,2,2
2250,0.945403684801321,-49002.8692092227,0.946753999831489,20,16,423,300,297,291,270,4,3,3,3,2
2260,0.945696469923423,-49018.6176487496,0.952420060802024,20,16,401,305,300,295,269,4,3,3,3,2
2270,0.945856204483109,-49027.4528723194,0.947316920572259,20,16,398,304,303,291,269,4,3,3,3,2
2280,0.945750668832642,-49022.4734951099,0.949804076370153,20,16,385,310,308,285,282,4,3,3,3,2
2290,0.946176912428972,-49044.7361266694,0.943825452920565,20,16,383,314,303,284,270,4,3,3,3,2
2300,0.945627098059414,-49014.5039216478,0.952312160830758,20,16,386,312,311,282,268,4,3,3,3,2
2310,0.945713318200959,-49019.4806811516,0.942414466143668,20,18,396,302,299,285,280,3,3,3,2,2
2320,0.945919733918857,-49031.085633322,0.946964765549912,20,17,412,301,298,284,277,4,3,3,2,2
2330,0.944905682134241,-48974.867913333,0.946137755044199,20,16,416,301,299,293,270,4,3,3,2,2
2340,0.945222331790926,-48992.3227272094,0.945079766168314,20,17,386,302,299,284,275,4,3,3,2,2
2350,0.945055489771907,-48983.8393846933,0.936251379708029,20,16,390,308,307,280,272,4,3,3,3,2
2360,0.945793727454107,-49025.577374237,0.947295356143296,20,16,406,328,308,283,266,4,3,3,3,2
2370,0.946301971962957,-49051.5796046027,0.951290139519607,20,16,415,317,299,291,256,4,3,3,3,2
2380,0.946201349678489,-49047.7298451399,0.954531940337066,20,16,408,307,299,281,263,4,3,3,3,2
2390,0.94650832546626,-49062.9647822726,0.947356084941024,20,16,423,307,295,276,265,4,3,3,3,2
2400,0.945519752615134,-49008.6138714931,0.944178567028487,20,16,424,309,289,272,269,4,3,3,3,2
2410,0.945969113537869,-49034.847326741,0.944046706533345,20,16,430,304,282,279,261,4,3,3,3,2
2420,0.945644065661724,-49015.8008896606,0.942034445967876,20,16,420,298,290,275,273,4,3,3,3,2
2430,0.945288141164028,-48995.8670130871,0.948231421874418,20,16,405,296,293,290,280,4,3,3,3,2
2440,0.946503415049104,-49063.6967191424,0.947051473554637,20,16,407,303,287,285,275,4,3,3,3,2
2450,0.946311172905216,-49053.451193735,0.952408527319171,20,18,404,305,288,285,275,4,3,3,2,2
2460,0.94572235281223,-49019.8104918953,0.951649158896594,20,16,402,294,289,288,271,4,3,3,3,2
2470,0.945934989799272,-49031.5919455925,0.940896391888774,20,16,383,300,295,289,288,4,3,3,3,2
2480,0.946122199177304,-49042.1233285276,0.946640628235611,20,16,413,313,291,287,282,4,3,3,3,2
2490,0.946257590977874,-49049.4421039718,0.951100620594658,20,16,398,318,301,287,282,4,3,3,3,2
2500,0.946006173371928,-49035.3890741325,0.945964938621259,20,16,371,322,306,304,280,4,3,3,3,2
2510,0.946798032687834,-49078.8152618997,0.944874809159027,20,16,399,320,299,288,274,4,3,3,3,2
2520,0.946676010791564,-49072.0332515889,0.946072519756368,20,16,396,322,301,297,267,4,3,3,3,2
2530,0.947367694160036,-49110.224011272,0.945465773374213,20,17,415,323,311,299,257,4,3,3,3,2
2540,0.946411917168736,-49057.8005608526,0.949920567979828,20,17,398,301,301,297,265,4,3,3,3,2
2550,0.945337377059303,-48998.576925702,0.948277876745117,20,16,404,311,301,287,272,4,3,3,3,2
2560,0.946395586498707,-49058.2966376774,0.948707402367713,20,16,401,308,295,292,286,4,3,3,3,2
2570,0.945285860260996,-48995.7574171865,0.949647527770517,20,17,403,306,303,282,277,4,3,3,2,2
2580,0.946227952973594,-49047.6312884279,0.940967310621203,20,16,395,312,297,286,281,4,3,3,3,2
2590,0.945471611131312,-49005.9535322886,0.951110916830872,20,16,405,300,298,287,279,4,3,3,3,2
2600,0.945525343967293,-49009.2474795306,0.949331463676023,20,16,394,297,293,291,287,4,3,3,3,2
2610,0.945360976153911,-49002.1809284726,0.946428639002328,20,17,413,298,294,294,270,4,3,3,2,2
2620,0.945586861504854,-49012.3303653803,0.952016284178169,20,16,423,299,296,281,271,4,3,3,3,2
2630,0.945460424252012,-49005.6223289796,0.949280095810447,20,16,404,310,292,292,271,4,3,3,3,2
2640,0.946498870782693,-49062.4678951709,0.95273612480214,20,16,403,308,291,289,275,4,3,3,3,2
2650,0.94449495524127,-48952.3239044727,0.944239323953255,20,16,405,304,293,285,275,4,3,3,3,2
